Circonscription;Resultats
"5918";52.51, RN;Elu
"5919";58.32, RN;Elu
"5920";50.30, RN;Elu
"5921";43.61, RN - 29.19, UDI - 23.08, UG;Triangulaire
"6001";46.19, RN - 24.48, LR;Duel
"6002";53.20, RN;Elu
"6003";43.10, RN - 31.29, UG;Duel
"6004";40.23, RN - 29.89, ENS;Duel
"6005";42.15, RN - 22.03, UG;Duel
"6006";47.88, RN - 22.93, UDI - 20.46, UG;Triangulaire
"6007";40.43, RN - 27.18, UG - 21.52, LR;Triangulaire
"6101";35.18, RN - 27.33, UG - 21.52, ENS;Triangulaire
"6102";40.01, RN - 32.95, DVD;Duel
"6103";43.67, DVD - 32.41, RN - 21.07, UG;Triangulaire
"6201";54.08, RN;Elu
"6202";37.31, RN - 21.54, ENS - 20.12, UG;Triangulaire
"6203";52.40, RN;Elu
"6204";42.34, RN - 30.66, ENS;Duel
"6205";43.15, RN - 28.97, UG - 20.88, ENS;Triangulaire
"6206";50.70, RN;Elu
"6207";47.86, RN - 33.75, LR;Duel
"6208";46.45, RN - 31.97, UG;Duel
"6209";48.85, RN - 19.78, ENS;Duel
"6210";60.61, RN;Elu
"6211";58.04, RN;Elu
"6212";59.24, RN;Elu
"6301";38.14, UG - 27.50, RN - 24.08, ENS;Triangulaire
"6302";36.20, UG - 34.34, RN;Duel
"6303";31.72, UG - 26.03, ENS - 25.93, RN;Triangulaire
"6304";31.63, RN - 27.38, ENS - 26.63, UG;Triangulaire
"6305";37.77, UG - 37.02, RN;Duel
"6401";27.96, RN - 26.82, ENS - 19.95, DVG;Triangulaire
"6402";31.14, RN - 29.60, ENS - 26.49, UG;Triangulaire
"6403";37.63, DVG - 31.55, RN;Duel
"6404";38.01, UG - 25.62, RN - 18.05, DVD;Triangulaire
"6405";32.30, UG - 27.54, RN - 26.63, ENS;Triangulaire
"6406";29.42, UG - 26.92, ENS - 25.29, UXD;Triangulaire
"6501";34.09, RN - 29.53, UG - 24.84, DIV;Triangulaire
"6502";36.96, RN - 28.09, UG - 24.91, ENS;Triangulaire
"6601";45.24, RN - 25.48, UG;Duel
"6602";54.98, RN;Elu
"6603";45.57, RN - 28.03, UG - 20.42, ENS;Triangulaire
"6604";47.90, RN - 25.95, UG;Duel
"6701";47.60, UG - 24.26, ENS;Duel
"6702";43.91, UG - 22.56, ENS - 21.22, RN;Triangulaire
"6703";37.94, UG - 28.99, ENS - 23.10, RN;Triangulaire
"6704";33.11, RN - 32.36, ENS - 20.92, UG;Triangulaire
"6705";39.20, RN - 32.31, ENS;Duel
"6706";38.50, RN - 27.76, ENS;Duel
"6707";41.47, RN - 32.31, LR;Duel
"6708";44.16, RN - 23.51, ENS;Duel
"6709";40.47, RN - 29.24, ENS;Duel
"6801";34.24, RN - 30.40, ENS;Duel
"6802";36.17, RN - 32.46, ENS;Duel
"6803";38.86, RN - 24.93, ENS;Duel
"6804";41.87, RN - 29.15, LR;Duel
"6805";37.23, ENS - 29.56, RN - 26.80, UG;Triangulaire
"6806";39.74, RN - 30.19, ENS - 22.08, UG;Triangulaire
"6901";42.40, UG - 29.72, ENS - 18.10, RN;Triangulaire
"6902";49.65, UG - 25.12, ENS;Duel
"6903";51.51, UG;Elu
"6904";38.00, UG - 31.03, ENS - 17.91, RN;Triangulaire
"6905";32.01, ENS - 26.48, UG - 25.38, RN;Triangulaire
"6906";46.29, UG - 19.94, DVG;Duel
"6907";46.00, UG - 27.05, ENS - 21.28, RN;Triangulaire
"6908";33.46, RN - 22.75, UG - 21.18, ENS - 20.66, LR;Duel
"6909";35.41, UXD - 25.41, LR - 23.25, UG;Triangulaire
"6910";32.54, ENS - 31.15, RN - 23.64, UG;Triangulaire
"6911";36.81, UXD - 26.93, ENS - 22.87, UG;Triangulaire
"6912";30.02, UG - 28.97, ENS - 24.96, RN;Triangulaire
